Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	country
1	3	1	1	2	1	4	3	1	2	1	2	LV
3	2	2	2	2	1	4	3	3	2	4	1	CA
1	1	1	2	2	1	4	4	1	2	2	4	IN
1	3	4	2	2	1	4	1	3	1	3	4	NZ
3	2	3	3	4	4	2	3	4	2	3	4	LK
1	2	2	1	2	4	4	2	1	2	2	2	US
4	4	1	3	1	2	2	3	1	1	1	1	US
3	4	3	3	3	3	4	2	3	3	2	3	US
1	1	1	1	4	1	1	3	1	2	3	1	PK
1	3	1	2	4	2	2	2	4	4	2	2	NZ
1	3	1	4	1	1	4	3	4	4	4	4	US
4	3	1	4	1	4	1	4	4	4	4	1	PK
1	4	1	4	1	1	1	1	1	2	1	1	TH
3	3	4	3	2	1	1	4	1	1	3	2	US
3	3	3	3	2	3	4	4	4	3	1	3	US
1	3	1	3	1	1	3	3	1	2	2	3	US
1	2	1	1	1	3	1	4	1	3	1	4	CN
3	3	1	3	3	1	3	1	3	2	3	3	GB
3	3	3	3	3	1	4	1	3	2	1	3	AU
4	3	1	2	2	4	1	4	1	4	4	2	HR
1	2	4	4	1	4	2	3	1	2	1	2	GB
2	2	1	4	1	2	2	1	4	1	1	1	FR
1	3	3	2	1	3	4	1	1	2	1	1	SG
3	1	3	1	3	3	1	1	2	3	3	3	NZ
1	3	4	3	2	4	1	2	1	4	2	3	RO
2	2	2	1	2	4	2	2	4	4	4	2	US
4	1	1	4	2	4	4	4	4	2	4	1	IN
1	3	4	2	1	3	2	4	1	4	4	2	ID
1	3	1	2	1	1	2	4	1	2	2	2	ID
1	3	4	2	2	1	4	1	4	3	1	2	US
1	1	2	1	4	2	2	2	1	4	2	2	DK
1	1	3	2	1	1	4	3	4	1	1	1	GB
4	1	4	4	4	4	2	1	3	4	2	2	US
1	4	1	1	1	1	1	1	4	2	2	2	US
4	2	1	1	4	4	1	1	4	2	2	2	IN
1	3	4	3	2	4	1	2	1	4	4	3	RO
3	2	2	4	1	4	2	2	1	4	1	1	AU
4	2	1	3	4	2	2	4	4	4	4	1	US
4	3	4	4	2	4	2	4	4	2	4	1	GB
1	3	4	3	2	4	1	2	1	4	4	3	RO
1	3	3	4	2	2	4	4	4	2	3	2	GR
4	3	4	4	3	4	2	4	1	2	4	1	GB
1	2	1	3	1	3	2	2	1	2	1	3	GB
4	3	1	3	1	1	4	1	1	2	1	3	CA
4	1	2	2	2	4	2	4	2	2	4	4	PH
1	2	1	2	2	2	2	1	1	3	1	1	GB
3	3	3	1	4	2	1	3	4	1	1	1	IN
4	3	4	1	2	1	3	2	4	2	2	2	GB
4	2	4	1	4	4	2	2	1	2	4	4	IN
4	3	3	1	1	2	4	4	4	3	1	2	GR
4	2	4	3	3	3	2	1	1	3	1	2	KR
4	1	4	2	2	1	2	3	4	1	4	2	GB
1	2	4	3	1	2	2	3	1	2	4	1	US
1	3	3	3	4	3	4	3	4	2	1	1	SA
2	1	1	2	4	4	2	3	4	4	2	2	US
1	2	4	1	4	2	1	2	4	4	3	4	AU
1	3	4	3	3	1	2	1	1	4	2	4	US
3	3	4	4	1	1	4	4	1	3	4	1	DK
4	1	2	1	2	4	2	2	4	1	4	1	IN
4	1	1	2	2	4	1	4	4	2	4	4	NZ
1	4	3	3	3	3	1	2	1	4	4	4	IE
4	2	4	2	2	3	2	4	4	2	4	1	AU
4	2	4	4	4	3	2	4	4	4	4	2	PH
3	3	2	3	1	1	1	1	1	2	3	1	US
1	4	1	4	3	1	1	1	1	2	2	1	IN
4	1	1	2	2	1	2	2	2	2	4	2	MY
4	2	4	2	2	2	2	1	1	4	1	2	KR
4	2	4	1	1	3	3	1	1	1	1	1	CA
1	1	4	2	1	4	4	4	1	4	3	1	SE
1	3	1	3	4	1	1	2	1	4	4	2	BR
4	1	3	1	1	4	2	4	4	2	1	1	GB
1	1	4	1	4	3	2	2	3	1	3	4	SG
4	3	1	1	2	3	2	4	1	4	4	4	US
3	3	1	3	1	3	1	1	1	2	1	3	DE
1	4	3	3	3	4	3	1	1	1	1	1	IN
3	1	4	4	1	1	1	2	1	2	4	1	US
